year,count,sex,job,perc
514,384.80197,EUR,a,0.000024068331168
514,1035.06172,EUR,b,0.000064740334506
514,774712.719,EUR,c,0.048456202762893
514,22564.60559,UAH,a,0.001411355560423
514,274.63031,UAH,d,0.000017177389320
514,361884.993,UAH,e,0.022634935722472
514,162763.8969,UAH,b,0.010180445213909
514,7306778.524,UAH,c,0.457019399609470
514,102878.498,USD,a,0.006434774122895
514,14647.83534,USD,b,0.000916182814400
514,7239970.201,USD,c,0.452840718138543
515,384.88233,EUR,a,0.000024054353395
515,1035.27786,EUR,b,0.000064702735265
515,776273.9677,EUR,c,0.048515525119657
515,22564.60559,UAH,a,0.001410241403066
515,301.12568,UAH,d,0.000018819735172
515,374977.6556,UAH,e,0.023435331633471
515,161654.4232,UAH,b,0.010103068707250
515,7298904.313,UAH,c,0.456166495729522
515,102620.7374,USD,a,0.006413584854172
515,14665.80132,USD,b,0.000916582394854
515,7247144.17,USD,c,0.452931593334176
516,386.50253,EUR,a,0.000024095160660
516,1039.63597,EUR,b,0.000064812501291
516,779246.8347,EUR,c,0.048579443127009
516,22564.60559,UAH,a,0.001406712129182
516,264.41062,UAH,d,0.000016483763687
516,376295.294,UAH,e,0.023458825907614
516,161494.3041,UAH,b,0.010067802667191
516,7305379.995,UAH,c,0.455428596204836
516,103448.9793,USD,a,0.006449168071576
516,14784.16755,USD,b,0.000921667685681
516,7275765.655,USD,c,0.453582392781273
517,386.73689,EUR,a,0.000024180407742
517,1040.26636,EUR,b,0.000065041803345
517,782307.9808,EUR,c,0.048913166665746
517,22564.60559,UAH,a,0.001410833509347
517,375.68278,UAH,d,0.000023489258556
517,377097.1978,UAH,e,0.023577693874221
517,161324.607,UAH,b,0.010086689108930
517,7265268.474,UAH,c,0.454254969231289
517,103326.9148,USD,a,0.006460430839975
517,14766.72301,USD,b,0.000923277278774
517,7265352.582,USD,c,0.454260228022076
518,386.73689,EUR,a,0.000024180407742
518,1040.26636,EUR,b,0.000065041803345
518,782307.9808,EUR,c,0.048913166665746
518,22564.60559,UAH,a,0.001410833509347
518,375.68278,UAH,d,0.000023489258556
518,377097.1978,UAH,e,0.023577693874221
518,161324.607,UAH,b,0.010086689108930
518,7265268.474,UAH,c,0.454254969231289
518,103326.9148,USD,a,0.006460430839975
518,14766.72301,USD,b,0.000923277278774
518,7265352.582,USD,c,0.454260228022076
519,386.73689,EUR,a,0.000024180407742
519,1040.26636,EUR,b,0.000065041803345
519,782307.9808,EUR,c,0.048913166665746
519,22564.60559,UAH,a,0.001410833509347
519,375.68278,UAH,d,0.000023489258556
519,377097.1978,UAH,e,0.023577693874221
519,161324.607,UAH,b,0.010086689108930
519,7265268.474,UAH,c,0.454254969231289
519,103326.9148,USD,a,0.006460430839975
519,14766.72301,USD,b,0.000923277278774
519,7265352.582,USD,c,0.454260228022076
520,386.03699,EUR,a,0.000024128869770
520,1038.38372,EUR,b,0.000064903173011
520,780572.029,EUR,c,0.048788901893459
520,22564.60559,UAH,a,0.001410378911317
520,315.82756,UAH,d,0.000019740497057
520,378817.428,UAH,e,0.023677618010553
520,162257.4231,UAH,b,0.010141743752012
520,7267866.177,UAH,c,0.454270966330291
520,103426.1079,USD,a,0.006464549131159
520,14780.89894,USD,b,0.000923865833690
520,7266942.033,USD,c,0.454213203597682
521,383.44517,EUR,a,0.000024127233602
521,1031.4121,EUR,b,0.000064898772036
521,775331.3409,EUR,c,0.048785593986678
521,22564.60559,UAH,a,0.001419815798428
521,318.11537,UAH,d,0.000020016535465
521,356790.8358,UAH,e,0.022450082868425
521,163058.0154,UAH,b,0.010259977531190
521,7235133.304,UAH,c,0.455250880738544
521,102777.7111,USD,a,0.006467005031087
521,14688.23481,USD,b,0.000924216811638
521,7220551.88,USD,c,0.454333384692909
522,381.91632,EUR,a,0.000024153579641
522,1027.29975,EUR,b,0.000064969641326
522,774775.5448,EUR,c,0.048999222721229
522,22564.60559,UAH,a,0.001427056058215
522,326.26219,UAH,d,0.000020633838821
522,364663.5757,UAH,e,0.023062462260471
522,162617.7391,UAH,b,0.010284453183056
522,7182858.297,UAH,c,0.454266368940785
522,102422.9553,USD,a,0.006477547248230
522,14637.53572,USD,b,0.000925723427483
522,7185720.903,USD,c,0.454447409100743
523,385.0728,EUR,a,0.000024375508383
523,1035.79021,EUR,b,0.000065566596619
